nom_commune,code_insee,type_bien,loyer_m2,loyer_m2_min,loyer_m2_max,niveau_prediction,nb_obs_commune,r2_adj,population,superficie_km2,region,departement,latitude,longitude
Bagneux,92007,Appartement,19.8524399901175,16.0416630249624,24.5684860072129,commune,1992,0.847497601385595,43699,4,Île-de-France,Hauts-de-Seine,48.799,2.304
Le Tampon,97422,Appartement,12.2345537061946,9.86677072538967,15.1705465299385,commune,2843,0.826926317290697,81943,181,La Réunion,La Réunion,-21.278,55.515
Caen,14118,Appartement,11.7490074032029,9.56230209731642,14.4357680353203,commune,32255,0.864617283352038,108200,26,Normandie,Calvados,49.181,-0.373
Orange,84087,Appartement,10.771282228505,8.63213749588591,13.4405320700003,commune,3711,0.755417757956427,28949,74,Provence-Alpes-Côte d'Azur,Vaucluse,44.138,4.807
Manosque,04112,Appartement,10.4423113938298,8.04943102772407,13.5465310368078,commune,4143,0.719724416015004,22926,57,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,43.834,5.782
Vichy,03310,Appartement,9.93321291652364,7.64900688061317,12.899546357459,commune,6914,0.750895349359158,25789,6,Auvergne-Rhône-Alpes,Allier,46.124,3.428
Bussy-Saint-Georges,77058,Appartement,17.0335650073998,14.4415973649276,20.0907371622163,commune,2267,0.872984215071106,26571,15,Île-de-France,Seine-et-Marne,48.844,2.698
Châtillon,92020,Appartement,21.3541924017667,17.857993274751,25.5348697984113,commune,3200,0.89710755244016,36777,3,Île-de-France,Hauts-de-Seine,48.8,2.29
Chambéry,73065,Appartement,12.99701455132,10.5641220041728,15.9901965521127,commune,12475,0.858840322424237,59856,21,Auvergne-Rhône-Alpes,Savoie,45.566,5.921
Nice,06088,Appartement,17.064922208647,12.6733097156033,22.9783360875838,commune,38703,0.794565214371554,348085,74,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,43.696,7.272
Sainte-Suzanne,97420,Appartement,12.8948943780977,10.4774686193135,15.8700834203205,commune,552,0.72399294639046,24293,58,La Réunion,La Réunion,-20.906,55.608
Bourg-la-Reine,92014,Appartement,21.0153880545393,17.3662483202891,25.4313152119847,commune,2107,0.911210832320301,20810,2,Île-de-France,Hauts-de-Seine,48.779,2.316
Montaigu-Vendée,85146,Appartement,10.7587126382387,8.49003785985231,13.6336138357585,commune,830,0.752930837586124,20605,3,Pays de la Loire,Vendée,46.974,-1.314
