GEO,GEO_OBJECT,EMPSTA_ENQ,AGE,PCS,RP_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,LIB_EMPSTA,LIB_PCS,code_insee,nom_commune,latitude,longitude,population
59368,COM,1T2,Y15T64,4,POP,A,2011,3234.10404,Actif,Professions intermédiaires,59368,La Madeleine,50.654,3.074,22488
59360,COM,1T2,Y15T64,5,POP,A,2011,3359.79309,Actif,Employés,59360,Loos,50.615,3.015,23013
57631,COM,1T2,Y15T64,2,POP,A,2016,397.50661,Actif,"Artisans, commerçants et chefs d’entreprise",57631,Sarreguemines,49.11,7.07,20624
59017,COM,1T2,Y15T64,1,POP,A,2016,5.98547,Actif,Agriculteurs,59017,Armentières,50.687,2.882,25581
59295,COM,1T2,Y15T64,2,POP,A,2016,405.31851,Actif,"Artisans, commerçants et chefs d’entreprise",59295,Hazebrouck,50.723,2.537,21498
57631,COM,1T2,Y15T64,2,POP,A,2011,496.80041,Actif,"Artisans, commerçants et chefs d’entreprise",57631,Sarreguemines,49.11,7.07,20624
57480,COM,1T2,Y15T64,3,POP,A,2011,1601.34568,Actif,Cadres et professions intellectuelles supérieures,57480,Montigny-lès-Metz,49.1,6.153,21854
59172,COM,1T2,Y15T64,1,POP,A,2016,2.84097,Actif,Agriculteurs,59172,Denain,50.326,3.394,20640
59512,COM,1T2,Y15T64,2,POP,A,2011,1586.50539,Actif,"Artisans, commerçants et chefs d’entreprise",59512,Roubaix,50.691,3.174,98892
59183,COM,1T2,Y15T64,5,POP,A,2011,12437.82193,Actif,Employés,59183,Dunkerque,51.038,2.377,86788
59350,COM,1T2,Y15T64,4,POP,A,2016,29638.66299,Actif,Professions intermédiaires,59350,Lille,50.63,3.071,236710
59650,COM,1T2,Y15T64,3,POP,A,2011,1013.73004,Actif,Cadres et professions intellectuelles supérieures,59650,Wattrelos,50.702,3.216,40836
59646,COM,1T2,Y15T64,4,POP,A,2011,2760.15886,Actif,Professions intermédiaires,59646,Wasquehal,50.669,3.131,20836
59368,COM,1T2,Y15T64,1,POP,A,2016,4.19405,Actif,Agriculteurs,59368,La Madeleine,50.654,3.074,22488
59368,COM,1T2,Y15T64,_T,POP,A,2016,11508.52769,Actif,Total,59368,La Madeleine,50.654,3.074,22488
59328,COM,1T2,Y15T64,2,POP,A,2011,574.85363,Actif,"Artisans, commerçants et chefs d’entreprise",59328,Lambersart,50.647,3.021,27121
59650,COM,1T2,Y15T64,5,POP,A,2011,5831.23021,Actif,Employés,59650,Wattrelos,50.702,3.216,40836
59650,COM,1T2,Y15T64,1,POP,A,2011,8.33484,Actif,Agriculteurs,59650,Wattrelos,50.702,3.216,40836
59122,COM,1T2,Y15T64,_T,POP,A,2016,14742.06874,Actif,Total,59122,Cambrai,50.176,3.235,31425
59017,COM,1T2,Y15T64,_T,POP,A,2011,11340.1528,Actif,Total,59017,Armentières,50.687,2.882,25581
59350,COM,1T2,Y15T64,3,POP,A,2016,32203.87304,Actif,Cadres et professions intellectuelles supérieures,59350,Lille,50.63,3.071,236710
59606,COM,1T2,Y15T64,_T,POP,A,2011,19530.09953,Actif,Total,59606,Valenciennes,50.358,3.524,42991
59410,COM,1T2,Y15T64,6,POP,A,2011,2379.03954,Actif,Ouvriers,59410,Mons-en-Barœul,50.643,3.11,21467
59512,COM,1T2,Y15T64,5,POP,A,2016,11189.76917,Actif,Employés,59512,Roubaix,50.691,3.174,98892
59178,COM,1T2,Y15T64,_T,POP,A,2016,17140.84892,Actif,Total,59178,Douai,50.368,3.08,39648
59378,COM,1T2,Y15T64,4,POP,A,2011,5012.04845,Actif,Professions intermédiaires,59378,Marcq-en-Barœul,50.673,3.094,39356
59122,COM,1T2,Y15T64,3,POP,A,2011,1348.90073,Actif,Cadres et professions intellectuelles supérieures,59122,Cambrai,50.176,3.235,31425
59650,COM,1T2,Y15T64,1,POP,A,2016,22.47348,Actif,Agriculteurs,59650,Wattrelos,50.702,3.216,40836
57672,COM,1T2,Y15T64,5,POP,A,2016,6709.01175,Actif,Employés,57672,Thionville,49.358,6.168,42163
59328,COM,1T2,Y15T64,1,POP,A,2011,17.15185,Actif,Agriculteurs,59328,Lambersart,50.647,3.021,27121
59178,COM,1T2,Y15T64,5,POP,A,2011,5398.47336,Actif,Employés,59178,Douai,50.368,3.08,39648
59392,COM,1T2,Y15T64,_T,POP,A,2011,12336.07026,Actif,Total,59392,Maubeuge,50.28,3.967,29066
59650,COM,1T2,Y15T64,_T,POP,A,2016,18823.77902,Actif,Total,59650,Wattrelos,50.702,3.216,40836
59295,COM,1T2,Y15T64,5,POP,A,2011,3108.39372,Actif,Employés,59295,Hazebrouck,50.723,2.537,21498
59368,COM,1T2,Y15T64,6,POP,A,2011,1718.96811,Actif,Ouvriers,59368,La Madeleine,50.654,3.074,22488
57672,COM,1T2,Y15T64,6,POP,A,2016,3692.04922,Actif,Ouvriers,57672,Thionville,49.358,6.168,42163
59512,COM,1T2,Y15T64,6,POP,A,2016,11601.42449,Actif,Ouvriers,59512,Roubaix,50.691,3.174,98892
59606,COM,1T2,Y15T64,6,POP,A,2016,3976.68979,Actif,Ouvriers,59606,Valenciennes,50.358,3.524,42991
59646,COM,1T2,Y15T64,4,POP,A,2016,2779.09007,Actif,Professions intermédiaires,59646,Wasquehal,50.669,3.131,20836
