id;starttime;endtime;description;type;subtype;street;polyline;direction
20260421T213641_1001_45;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Av_Gravelle;48.8292752583405445 2.4034304217908242 48.8296916193940120 2.4018437645441422 48.8297431025276936 2.4009890740148601 48.8296448339569906 2.4008662683866642;ONE_DIRECTION
20260421T213641_5271_180;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Italie;48.8160850496153458 2.3604083176226829 48.8160512914690869 2.3616983682599995 48.8160382260518091 2.3621488304095526 48.8160604353957766 2.3626048533634640 48.8161126776381451 2.3630920644082338 48.8162123106580665 2.3636713326876815;ONE_DIRECTION
20260421T213641_5351_2980;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Bagnolet;48.8629297141699581 2.4137008322363944 48.8641546620670724 2.4135488395601588 48.8646873752395408 2.4135099911058657 48.8662995376010301 2.4134327470176684;ONE_DIRECTION
20251119T094151_1918_912;2025-11-19T09:41:51+02:00;2030-11-23T03:02:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8857844212798653 2.3262525739455784 48.8849283189359483 2.3266309294573326;ONE_DIRECTION
20251119T094336_27_568;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8585227178299064 2.3482103524655238 48.8587993480476968 2.3474346083817021;ONE_DIRECTION
20251119T094336_29_2505;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8593667042748976 2.3456528431755985 48.8596349548353999 2.3448214172967252;ONE_DIRECTION
20251119T094336_371_3685;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8554972796506775 2.3600634149766173 48.8559785960858264 2.3579583705948619;ONE_DIRECTION
20260309T180636_1131_478;2026-03-09T18:06:36+02:00;2026-04-24T18:00:00+02:00;Travaux:Maitre d'ouvrage :RATP/description:Ouverture de la circulation et emprise sur trottoir/circulation restreinte;CONSTRUCTION;;Ernest_Renan;48.8331639547087590 2.2823286422046909 48.8342826706759325 2.2839281790678658;ONE_DIRECTION
20260105T010000_16_1479;2026-01-05T01:00:00+02:00;2026-09-11T08:00:00+02:00;APHP - Av_Victoria Réhabilitation d'immeuble;CONSTRUCTION;;Av_Victoria;48.8568038719607571 2.3510452834584612 48.8572868527320594 2.3493597051455777;ONE_DIRECTION
20260130T151421_503_3662;2026-01-30T15:14:21+02:00;2026-04-24T18:00:00+02:00;CPCU - Pl. Valhubert Bd_de_l'Hôpital. Entretien du réseau.;CONSTRUCTION;;Bd_de_l'Hopital;48.8442939195916495 2.3648099214105778 48.8442263084107537 2.3647155810544036;ONE_DIRECTION
20260421T213641_5331_941;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Montreuil;48.8523181491549323 2.4149563370337277 48.8533269912264032 2.4143638962578557 48.8537992338561011 2.4141607710104980 48.8544188066343708 2.4140548882076178 48.8549979591116497 2.4140236391189061 48.8561735966667428 2.4141711594050737;ONE_DIRECTION
20251119T094151_5918_3585;2025-11-19T09:41:51+02:00;2030-11-23T03:02:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Clichy;48.8906061314747191 2.3202661057018483 48.8912321464159376 2.3191917356162204;ONE_DIRECTION
20251119T094220_1415_2540;2025-11-19T09:42:20+02:00;2030-11-19T10:04:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8716962519072524 2.4043252103199260 48.8697469152808850 2.4025674826905021;ONE_DIRECTION
20251119T094336_33_2055;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8609491564223077 2.3407406813978486 48.8614986341360549 2.3390796944274990;ONE_DIRECTION
20240329T161009_1420_56;2024-03-29T16:10:09+02:00;2050-03-29T09:00:00+02:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8647610210920789 2.4013849285854998 48.8646466309063783 2.4041489084446028;ONE_DIRECTION
20260317T163158_1005_2804;2026-03-17T16:31:58+02:00;2030-03-17T18:00:00+02:00;Sauf bus, vélos, livraisons, taxis et véhicules de propreté.;ROAD_CLOSED;ROAD_CLOSED_EVENT;Alesia;48.8278338814171917 2.3324867135109617 48.8278750862748652 2.3272566545180355 48.8278745597468955 2.3267874979342844;ONE_DIRECTION
20260421T213641_938_2334;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Vincennes;48.8447508551051399 2.4142006629710351 48.8463581068212136 2.4148524912463105;ONE_DIRECTION
20260421T213641_5347_737;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Louis_Lumiere;48.8561735966667428 2.4141711594050737 48.8583530073098018 2.4143568649647720 48.8593365556703461 2.4143033656659818 48.8605386851075565 2.4141591781837231 48.8613021949335007 2.4140296359623230;ONE_DIRECTION
20260421T213641_5494_3269;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Bercy_bretelle_4;48.8267828999645417 2.3899000753767621 48.8268401313129203 2.3902483198532885 48.8268360854898091 2.3907550453159900 48.8268737991634154 2.3913508716035379 48.8270209394216295 2.3920056704641044 48.8271699489521964 2.3924271819322587 48.8273279474228872 2.3926107170323103 48.8276293946705593 2.3927215181670540 48.8278652116182244 2.3925642870478043 48.8280479972187891 2.3922309979061320;ONE_DIRECTION
